Symbol,Day,Open,CloseDiff,SpreadOverLow,Volume,NextLow,TwoDayHigh,ThreeDayOpen
CUZ,20081027,13.59,-0.09050776,5.494602,987700,12.11,15.12,13.97
CVA,20131024,19.2,-0.07708341,8.553279,3.13823E+07,17.15,17.49,17.22
CW,20070427,42,0.07500003,7.824056,1299900,43.08,44.15,43.67
CWT,20070111,22.15,-0.08735889,6.070184,422500,19.87,20.22,19.71
CYD,20131029,24.46,-0.05110385,5.898479,173100,23.25,23.51,23.37
CYD,20171115,21.96,0.06102005,6.990761,295800,23.39,24.45,24.45
CYH,20120628,25.31,0.08810753,7.049118,8526000,27.75,28.24,27.99
DDD,20061018,5.92,-0.05461147,5.318801,157500,5.5,5.6033,5.4833
DDD,20080507,4.8,-0.0333334,5.032603,41700,4.6,3.8533,2.9833
DDD,20081020,3.5,0.0009428433,4.102636,31000,3.1667,3.5533,2.91
DDD,20090313,1.9333,0.05519058,6.583638,51600,1.9233,2.4,2.35
DDD,20090409,2.4033,0.06382888,7.419523,36800,2.3267,2.5667,2.2567
DDD,20120223,15.3333,0.01348049,6.454453,3409400,15.7,16.6867,16.4533
DDD,20130131,39.7,-0.02854662,6.261697,5682000,38.6667,40.8067,40.8267
DDD,20130221,39.4333,-0.07202035,5.851367,4927600,37.0067,36.59,34.98
DDD,20160414,18.25,0.001643873,4.395335,1.46723E+07,17,17.64,17.48
DDE,20081120,2.72,-0.05882356,5.73896,94800,2.42,2.99,3.05
DDE,20090323,3.05,-0.04262291,8.888783,300100,2.71,3.06,3.05
DDE,20090529,5.45,0.0880734,6.029243,131400,5.82,5.82,5.63
DDE,20130328,2.04,0.01960783,6.073425,26100,2.01,2.07,2.07
DDE,20130516,1.82,-0.07142857,6.893323,109200,1.66,1.78,1.72
DDE,20130627,1.63,-0.03067482,5.799405,54000,1.51,1.56,1.46
DDR,20081029,11.27,0.01419697,5.776939,7780900,11.05,13.74,13.13
DDS,20081029,4.62,0.06277055,6.364525,2094600,4.47,5.54,5.33
DDS,20170731,81.63,-0.09567558,7.284243,2458800,72.42,76.67,72.78
DECK,20121227,35.03,0.08792469,6.514393,4558300,37.25,40.65,41.74
DEL,20080919,75.08,-0.09256799,5.833661,302200,64.91,68,66.72
DF,20150810,17.95,-0.04122572,11.02727,1.26449E+07,16.48,17.18,17.08
